reaction_name	template_id	example	reaction_template	reactant_categories
reductive_amination_ketone	22	Cc1cccc2c1C(=O)c1ccccc1-2.O=C1c2ccccc2-c2cccc(CC3CCc4ccccc4Nc4ccccc4C3)c21>>Cc1cccc2c1C(N1c3ccccc3CCC(Cc3cccc4c3C(=O)c3ccccc34)Cc3ccccc31)c1ccccc12	[#6;R;$([#6;D3;$([#6](=O)([#6;a])[#6;a])]):1]([*:2])[*:3].[N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);R;D2;$([N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);R;D2]([$([c;$(c1ccccc1)]),$([c;$(c1cccc1)])])[$([c;$(c1ccccc1)]),$([c;$(c1cccc1)])]):4]([#6:5])[#6:6]>>C([*:2])([*:3])[N:4]([#6:5])[#6:6]	KetoneAromaticCyclic.Amine_CyclicSecondary_Aromatic-Aromatic
reductive_amination_ketone	23	Cc1cccc2c1C(=O)c1ccccc1-2.O=C1c2ccccc2-c2cccc(Cc3ccc4c(c3)NCCC4)c21>>Cc1cccc2c1C(N1CCCc3ccc(Cc4cccc5c4C(=O)c4ccccc45)cc31)c1ccccc12	[#6;R;$([#6;D3;$([#6](=O)([#6;a])[#6;a])]):1]([*:2])[*:3].[N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);R;D2;$([N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);R;D2]([!$(C=C);!$(C#C);!$(C#N);!$(a)])[$([c;$(c1ccccc1)]),$([c;$(c1cccc1)])]):4]([#6:5])[#6:6]>>C([*:2])([*:3])[N:4]([#6:5])[#6:6]	KetoneAromaticCyclic.Amine_CyclicSecondary_SaturatedAliphatic-Aromatic
reductive_amination_ketone	24	Cc1cccc2c1C(=O)c1ccccc1-2.O=C1c2ccccc2-c2cccc(Cc3ccc4c(c3)NC=CC4)c21>>Cc1cccc2c1C(N1C=CCc3ccc(Cc4cccc5c4C(=O)c4ccccc45)cc31)c1ccccc12	[#6;R;$([#6;D3;$([#6](=O)([#6;a])[#6;a])]):1]([*:2])[*:3].[N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);R;D2;$([N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);R;D2]([$(C=C),$(C#C),$(C#N);!$(a)])[$([c;$(c1ccccc1)]),$([c;$(c1cccc1)])]):4]([#6:5])[#6:6]>>C([*:2])([*:3])[N:4]([#6:5])[#6:6]	KetoneAromaticCyclic.Amine_CyclicSecondary_UnsaturatedAliphatic-Aromatic
reductive_amination_ketone	25	Cc1cccc2c1C(=O)c1ccccc1-2.Nc1cccc(CCc2cccc3c2C(=O)c2ccccc2-3)c1N>>Cc1cccc2c1C(Nc1cccc(CCc3cccc4c3C(=O)c3ccccc34)c1N)c1ccccc12	[#6;R;$([#6;D3;$([#6](=O)([#6;a])[#6;a])]):1]([*:2])[*:3].[N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);D1;$([$(*[c;$(c1ccccc1)]);$(*[c;$(c1[c][c][c][c][c]1)]);!$([$(*[$(a(aaa2)a1a2aaaa1)]),$(*[$(a1aa2a(aaaa2)aa1)]),$(*[a;$(a1a2a(aaa2)aaa1)]),$(*[a;$(a1aaa2a(aaa2)a1)])])]):4][#6:5]>>C([*:2])([*:3])[N:4][#6:5]	KetoneAromaticCyclic.Amine_Primary_Phe
reductive_amination_ketone	26	Cc1cccc2c1C(=O)c1ccccc1-2.Nc1cc2ccc(CCc3cccc4c3C(=O)c3ccccc3-4)cc2cc1N>>Cc1cccc2c1C(Nc1cc3ccc(CCc4cccc5c4C(=O)c4ccccc45)cc3cc1N)c1ccccc12	[#6;R;$([#6;D3;$([#6](=O)([#6;a])[#6;a])]):1]([*:2])[*:3].[N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);D1;$([$(*[$(c1cc2c(cccc2)cc1)]),$(*[$(c(ccc2)c1c2cccc1)])]):4][#6:5]>>C([*:2])([*:3])[N:4][#6:5]	KetoneAromaticCyclic.Amine_Primary_PhePhe
reductive_amination_ketone	27	Cc1cccc2c1C(=O)c1ccccc1-2.Nc1cncc(CCc2cccc3c2C(=O)c2ccccc2-3)c1Nc1ccccc1>>Cc1cccc2c1C(N(c1ccccc1)c1c(N)cncc1CCc1cccc3c1C(=O)c1ccccc13)c1ccccc12	[#6;R;$([#6;D3;$([#6](=O)([#6;a])[#6;a])]):1]([*:2])[*:3].[N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);!R;D2;$([N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);!R;D2]([$([c;$(c1ccccc1)]),$([c;$(c1cccc1)])])[$([a;$(a1aaaaa1)]),$([a;$(a1aaaa1)]);!$([c;$(c1ccccc1)]);!$([c;$(c1cccc1)])]):4]([#6:5])[#6:6]>>C([*:2])([*:3])[N:4]([#6:5])[#6:6]	KetoneAromaticCyclic.Amine_AcyclicSecondary_Aromatic-Heteroaromatic
reductive_amination_ketone	28	Cc1cccc2c1C(=O)c1ccccc1-2.Nc1cncc(CCc2cccc3c2C(=O)c2ccccc2-3)c1Nc1cccnc1>>Cc1cccc2c1C(N(c1cccnc1)c1c(N)cncc1CCc1cccc3c1C(=O)c1ccccc13)c1ccccc12	[#6;R;$([#6;D3;$([#6](=O)([#6;a])[#6;a])]):1]([*:2])[*:3].[N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);!R;D2;$([N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);!R;D2]([$([a;$(a1aaaaa1)]),$([a;$(a1aaaa1)]);!$([c;$(c1ccccc1)]);!$([c;$(c1cccc1)])])[$([a;$(a1aaaaa1)]),$([a;$(a1aaaa1)]);!$([c;$(c1ccccc1)]);!$([c;$(c1cccc1)])]):4]([#6:5])[#6:6]>>C([*:2])([*:3])[N:4]([#6:5])[#6:6]	KetoneAromaticCyclic.Amine_AcyclicSecondary_Heteroaromatic-Heteroaromatic
reductive_amination_ketone	29	Cc1cccc2c1C(=O)c1ccccc1-2.NCCNc1ccncc1CCc1cccc2c1C(=O)c1ccccc1-2>>Cc1cccc2c1C(N(CCN)c1ccncc1CCc1cccc3c1C(=O)c1ccccc13)c1ccccc12	[#6;R;$([#6;D3;$([#6](=O)([#6;a])[#6;a])]):1]([*:2])[*:3].[N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);!R;D2;$([N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);!R;D2]([!$(C=C);!$(C#C);!$(C#N);!$(a)])[$([a;$(a1aaaaa1)]),$([a;$(a1aaaa1)]);!$([c;$(c1ccccc1)]);!$([c;$(c1cccc1)])]):4]([#6:5])[#6:6]>>C([*:2])([*:3])[N:4]([#6:5])[#6:6]	KetoneAromaticCyclic.Amine_AcyclicSecondary_SaturatedAliphatic-Heteroaromatic
reductive_amination_ketone	30	Cc1cccc2c1C(=O)c1ccccc1-2.NC=CNc1ccncc1CCc1cccc2c1C(=O)c1ccccc1-2>>Cc1cccc2c1C(N(C=CN)c1ccncc1CCc1cccc3c1C(=O)c1ccccc13)c1ccccc12	[#6;R;$([#6;D3;$([#6](=O)([#6;a])[#6;a])]):1]([*:2])[*:3].[N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);!R;D2;$([N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);!R;D2]([$(C=C),$(C#C),$(C#N);!$(a)])[$([a;$(a1aaaaa1)]),$([a;$(a1aaaa1)]);!$([c;$(c1ccccc1)]);!$([c;$(c1cccc1)])]):4]([#6:5])[#6:6]>>C([*:2])([*:3])[N:4]([#6:5])[#6:6]	KetoneAromaticCyclic.Amine_AcyclicSecondary_UnsaturatedAliphatic-Heteroaromatic
reductive_amination_ketone	31	Cc1cccc2c1C(=O)c1ccccc1-2.O=C1c2ccccc2-c2cccc(CC3CCc4ccncc4Nc4ccccc4C3)c21>>Cc1cccc2c1C(N1c3cnccc3CCC(Cc3cccc4c3C(=O)c3ccccc34)Cc3ccccc31)c1ccccc12	[#6;R;$([#6;D3;$([#6](=O)([#6;a])[#6;a])]):1]([*:2])[*:3].[N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);R;D2;$([N;X3;!+;!-;!$(N=*);$([N;!$(N~[*;!#6])]);!$(N[*]=[*;O,S,P,N]);R;D2]([$([c;$(c1ccccc1)]),$([c;$(c1cccc1)])])[$([a;$(a1aaaaa1)]),$([a;$(a1aaaa1)]);!$([c;$(c1ccccc1)]);!$([c;$(c1cccc1)])]):4]([#6:5])[#6:6]>>C([*:2])([*:3])[N:4]([#6:5])[#6:6]	KetoneAromaticCyclic.Amine_CyclicSecondary_Aromatic-Heteroaromatic
